Model_Id,Epoch,Valid_Acc,Loss
0.0,0.0,0.7528344666606445,0.6184359192848206
0.0,1.0,0.8115646257422138,0.27316558361053467
0.0,2.0,0.874603174116606,0.34084397554397583
0.0,3.0,0.8664399088104836,0.142665833234787
0.0,4.0,0.8782312922737225,0.20446710288524628
0.0,5.0,0.8875283441846333,0.04181667044758797
0.0,6.0,0.8832199544052418,0.17582210898399353
0.0,7.0,0.8825396822963982,0.05000443384051323
0.0,8.0,0.8981859410701155,0.11309653520584106
0.0,9.0,0.9002267571263303,0.02039032056927681
0.0,10.0,0.8988662129086432,0.015759877860546112
0.0,11.0,0.8911564628553499,0.0856381207704544
0.0,12.0,0.904081632409777,0.0380486436188221
0.0,13.0,0.8913832197113642,0.061689600348472595
0.0,14.0,0.8891156460422507,0.07138768583536148
0.0,15.0,0.9047619045186205,0.00834347028285265
0.0,16.0,0.889115645501619,0.02341066114604473
0.0,17.0,0.90725623507078,0.0127949183806777
0.0,18.0,0.9068027213587512,0.0025767660699784756
0.0,19.0,0.9104308387589833,0.026105206459760666
0.0,20.0,0.9065759634755366,0.005537181161344051
0.0,21.0,0.912471655599114,0.011198708787560463
0.0,22.0,0.9122448982294995,0.010666915215551853
0.0,23.0,0.9024943300385594,0.0034945181105285883
0.0,24.0,0.9113378674535254,0.005067646037787199
0.0,25.0,0.9099773232358384,0.001035773428156972
0.0,26.0,0.913832198519285,0.022835399955511093
0.0,27.0,0.9201814061660074,0.0021330832969397306
0.0,28.0,0.9083900229460528,0.05629068613052368
0.0,29.0,0.920861678274851,0.022569861263036728
0.0,30.0,0.9204081622381058,0.0012632212601602077
0.0,31.0,0.9192743753900333,0.004542762413620949
0.0,32.0,0.9190476193179349,0.004076668061316013
0.0,33.0,0.9310657599075041,0.011181578040122986
0.0,34.0,0.92834467147213,0.0001603367127245292
0.0,35.0,0.896598639212498,0.09859002381563187
0.0,36.0,0.9308390025378895,0.04418177902698517
0.0,37.0,0.9158730151161315,0.0034084704238921404
0.0,38.0,0.9263038551455993,0.0003126692899968475
0.0,39.0,0.9312925167635184,0.0005844804691150784
0.0,40.0,0.9351473925605652,0.006027325987815857
0.0,41.0,0.9317460320163476,0.0003143354260828346
0.0,42.0,0.9290249435809734,0.00023671989038120955
0.0,43.0,0.930158730429046,3.272896719863638e-05
0.0,44.0,0.9308390025378895,0.0001225195446750149
0.0,45.0,0.9299319730594315,0.0004247246542945504
0.0,46.0,0.9188208614347203,0.001551118097268045
0.0,47.0,0.9222222214653378,0.02258547767996788
0.0,48.0,0.9235827659533408,0.0007204069988802075
0.0,49.0,0.9240362814494542,0.0016084593953564763
